,exp,nat,Temp,status,dens.ave,visco.ave
0,0,20,200,completed,missing,missing
1,0,20,400,completed,missing,missing
2,0,20,600,completed,missing,missing
3,0,40,200,completed,missing,missing
4,0,40,400,completed,missing,missing
5,0,40,600,completed,missing,missing
6,0,80,200,completed,missing,missing
7,0,80,400,completed,missing,missing
8,0,80,600,completed,missing,missing
9,1,20,200,completed,missing,missing
10,1,20,400,completed,missing,missing
11,1,20,600,completed,missing,missing
12,1,40,200,completed,missing,missing
13,1,40,400,completed,missing,missing
14,1,40,600,completed,missing,missing
15,1,80,200,completed,missing,missing
16,1,80,400,completed,missing,missing
17,1,80,600,completed,missing,missing
18,2,20,200,completed,missing,missing
19,2,20,400,completed,missing,missing
20,2,20,600,completed,missing,missing
21,2,40,200,completed,missing,missing
22,2,40,400,completed,missing,missing
23,2,40,600,completed,missing,missing
24,2,80,200,completed,missing,missing
25,2,80,400,completed,missing,missing
26,2,80,600,completed,missing,missing
27,3,20,200,completed,missing,missing
28,3,20,400,completed,missing,missing
29,3,20,600,completed,missing,missing
30,3,40,200,completed,missing,missing
31,3,40,400,completed,missing,missing
32,3,40,600,completed,missing,missing
33,3,80,200,completed,missing,missing
34,3,80,400,completed,missing,missing
35,3,80,600,completed,missing,missing
36,4,20,200,completed,missing,missing
37,4,20,400,completed,missing,missing
38,4,20,600,completed,missing,missing
39,4,40,200,completed,missing,missing
40,4,40,400,completed,missing,missing
41,4,40,600,completed,missing,missing
42,4,80,200,completed,missing,missing
43,4,80,400,completed,missing,missing
44,4,80,600,completed,missing,missing
45,5,20,200,completed,missing,missing
46,5,20,400,completed,missing,missing
47,5,20,600,completed,missing,missing
48,5,40,200,completed,missing,missing
49,5,40,400,completed,missing,missing
50,5,40,600,completed,missing,missing
51,5,80,200,completed,missing,missing
52,5,80,400,completed,missing,missing
53,5,80,600,completed,missing,missing
54,6,20,200,completed,missing,missing
55,6,20,400,completed,missing,missing
56,6,20,600,completed,missing,missing
57,6,40,200,completed,missing,missing
58,6,40,400,completed,missing,missing
59,6,40,600,completed,missing,missing
60,6,80,200,completed,missing,missing
61,6,80,400,completed,missing,missing
62,6,80,600,completed,missing,missing
